"testUnique" "testCounts"
"1" "There" 148
"2" "was" 1758
"3" "a" 6452
"4" "certain" 30
"5" "amount" 30
"6" "of" 5802
"7" "scoffing" 1
"8" "going" 275
"9" "around" 138
"10" "few" 100
"11" "years" 370
"12" "ago" 116
"13" "when" 428
"14" "the" 13029
"15" "NFL" 36
"16" "decided" 33
"17" "to" 6776
"18" "move" 93
"19" "draft" 41
"20" "from" 1166
"21" "weekend" 37
"22" "prime" 7
"23" "time" 446
"24" "" 34755
"25" "eventually" 19
"26" "splitting" 4
"27" "off" 236
"28" "first" 423
"29" "round" 66
"30" "separate" 22
"31" "day" 183
"32" "Cheap" 2
"33" "he" 1340
"34" "said" 1871
"35" "He" 498
"36" "hit" 106
"37" "me" 206
"38" "hard" 79
"39" "enough" 85
"40" "for" 2579
"41" "really" 128
"42" "feel" 83
"43" "it" 1588
"44" "And" 242
"45" "then" 186
"46" "Batum" 4
"47" "rose" 18
"48" "his" 1080
"49" "feet" 47
"50" "squared" 1
"51" "elbows" 2
"52" "up" 613
"53" "and" 6375
"54" "performed" 12
"55" "best" 157
"56" "elbow" 7
"57" "throwing" 14
"58" "impression" 4
"59" "Suns" 5
"60" "6" 194
"61" "foot" 45
"62" "10" 272
"63" "forward" 52
"64" "I" 1532
"65" "liked" 14
"66" "theCareerBuilder" 1
"67" "comad" 1
"68" "with" 1812
"69" "harried" 1
"70" "office" 93
"71" "worker" 13
"72" "chimpanzees" 1
"73" "m" 379
"74" "sucker" 2
"75" "e" 40
"76" "Trade" 2
"77" "babies" 2
"78" "although" 26
"79" "this" 763
"80" "one" 613
"81" "yesterday" 17
"82" "wasn" 71
"83" "t" 820
"84" "as" 1320
"85" "edgy" 1
"86" "fun" 36
"87" "two" 425
"88" "incarnations" 1
"89" "Bud" 9
"90" "Light" 9
"91" "rescue" 12
"92" "dog" 21
"93" "Weego" 1
"94" "OK" 14
"95" "went" 93
"96" "on" 1977
"97" "too" 137
"98" "long" 151
"99" "At" 89
"100" "Fontbonne" 2
"101" "University" 94
"102" "Study" 1
"103" "Abroad" 1
"104" "director" 78
"105" "Gail" 2
"106" "Schafers" 1
"107" "conceded" 2
"108" "that" 2608
"109" "most" 236
"110" "students" 99
"111" "interested" 16
"112" "in" 4829
"113" "study" 38
"114" "abroad" 5
"115" "opportunities" 20
"116" "were" 565
"117" "choosing" 9
"118" "summer" 45
"119" "short" 40
"120" "term" 45
"121" "travel" 26
"122" "programs" 29
"123" "last" 361
"124" "between" 115
"125" "three" 263
"126" "four" 151
"127" "weeks" 57
"128" "To" 53
"129" "conduct" 10
"130" "these" 132
"131" "partners" 6
"132" "consortium" 3
"133" "other" 365
"134" "private" 37
"135" "universities" 10
"136" "You" 138
"137" "get" 318
"138" "kind" 61
"139" "beat" 29
"140" "after" 392
"141" "not" 784
"142" "finding" 16
"143" "way" 229
"144" "out" 554
"145" "captain" 7
"146" "Shane" 2
"147" "Doan" 1
"148" "But" 441
"149" "s" 2751
"150" "only" 262
"151" "halfway" 4
"152" "We" 295
"153" "ve" 137
"154" "got" 169
"155" "win" 93
"156" "more" 680
"157" "regroup" 2
"158" "again" 85
"159" "Scarlett" 2
"160" "Johansson" 1
"161" "filmed" 2
"162" "scenes" 7
"163" "at" 1556
"164" "an" 918
"165" "old" 172
"166" "warehouse" 4
"167" "Ashland" 4
"168" "Road" 63
"169" "near" 70
"170" "Longfellow" 1
"171" "Avenue" 33
"172" "Cedar" 6
"173" "Norfolk" 1
"174" "Southern" 12
"175" "railroad" 2
"176" "tracks" 13
"177" "The" 1900
"178" "site" 49
"179" "top" 101
"180" "secret" 12
"181" "filming" 5
"182" "doubled" 6
"183" "Russian" 7
"184" "facility" 22
"185" "Then" 50
"186" "comes" 48
"187" "defense" 59
"188" "which" 448
"189" "has" 965
"190" "played" 78
"191" "outstanding" 10
"192" "all" 467
"193" "season" 214
"194" "deserves" 7
"195" "much" 210
"196" "credit" 37
"197" "those" 208
"198" "gaudy" 1
"199" "goalie" 8
"200" "stats" 1
"201" "do" 355
"202" "they" 738
"203" "protect" 18
"204" "net" 26
"205" "produce" 16
"206" "Kevin" 22
"207" "Shattenkirk" 3
"208" "23" 55
"209" "points" 85
"210" "ranks" 10
"211" "18th" 1
"212" "league" 36
"213" "among" 72
"214" "defensemen" 3
"215" "Alex" 10
"216" "Pietrangelo" 1
"217" "right" 202
"218" "behind" 76
"219" "him" 342
"220" "21" 50
"221" "good" 211
"222" "26th" 1
"223" "Shatty" 1
"224" "plus" 24
"225" "17" 62
"226" "Petro" 2
"227" "14" 90
"228" "Barret" 1
"229" "Jackman" 2
"230" "13" 90
"231" "Blues" 11
"232" "have" 1108
"233" "who" 823
"234" "rank" 11
"235" "Michel" 4
"236" "final" 59
"237" "stadium" 15
"238" "vote" 47
"239" "coming" 73
"240" "days" 102
"241" "would" 571
"242" "be" 1156
"243" "difficult" 36
"244" "many" 217
"245" "legislators" 12
"246" "but" 679
"247" "Vikings" 11
"248" "are" 1037
"249" "things" 95
"250" "put" 112
"251" "us" 126
"252" "map" 7
"253" "It" 558
"254" "always" 94
"255" "sounds" 8
"256" "like" 381
"257" "excuse" 3
"258" "there" 348
"259" "is" 2247
"260" "strong" 45
"261" "seasonal" 5
"262" "element" 8
"263" "economic" 43
"264" "activity" 16
"265" "genuine" 3
"266" "World" 28
"267" "Series" 7
"268" "contender" 5
"269" "just" 385
"270" "saying" 52
"271" "my" 264
"272" "heart" 46
"273" "believe" 72
"274" "trying" 73
"275" "New" 202
"276" "York" 83
"277" "Jets" 6
"278" "coach" 75
"279" "Rex" 4
"280" "Ryan" 34
"281" "putting" 23
"282" "something" 106
"283" "make" 245
"284" "everybody" 12
"285" "mad" 2
"286" "we" 580
"287" "great" 133
"288" "team" 216
"289" "A" 358
"290" "petition" 4
"291" "drive" 51
"292" "ban" 13
"293" "traffic" 26
"294" "cameras" 11
"295" "city" 172
"296" "ended" 33
"297" "419" 1
"298" "valid" 4
"299" "signatures" 4
"300" "easily" 16
"301" "surpassing" 1
"302" "number" 69
"303" "251" 1
"304" "organizers" 2
"305" "needed" 50
"306" "place" 126
"307" "issue" 58
"308" "ballot" 15
"309" "South" 51
"310" "Euclid" 3
"311" "Clerk" 2
"312" "Council" 44
"313" "Keith" 6
"314" "Benjamin" 4
"315" "legal" 43
"316" "review" 31
"317" "underway" 3
"318" "determine" 15
"319" "whether" 78
"320" "total" 49
"321" "meets" 5
"322" "requirements" 7
"323" "election" 45
"324" "eligibility" 5
"325" "So" 96
"326" "while" 192
"327" "USGA" 1
"328" "stedfast" 1
"329" "its" 430
"330" "insistence" 4
"331" "Trump" 3
"332" "National" 45
"333" "Bedminster’s" 1
"334" "selection" 13
"335" "host" 19
"336" "U" 187
"337" "S" 203
"338" "Women’s" 1
"339" "Open" 16
"340" "—" 322
"341" "door" 36
"342" "appears" 23
"343" "cracked" 3
"344" "little" 130
"345" "bit" 44
"346" "now" 232
"347" "that’s" 13
"348" "asked" 79
"349" "police" 140
"350" "statement" 51
"351" "released" 50
"352" "Sunday" 75
"353" "Brown" 39
"354" "unidentified" 1
"355" "woman" 48
"356" "began" 54
"357" "arguing" 6
"358" "riding" 10
"359" "car" 79
"360" "following" 35
"361" "pre" 21
"362" "Grammy" 4
"363" "party" 47
"364" "where" 223
"365" "spotted" 9
"366" "together" 71
"367" "Saturday" 88
"368" "night" 119
"369" "fight" 32
"370" "escalated" 1
"371" "report" 92
"372" "Osama" 4
"373" "Bin" 4
"374" "Laden" 10
"375" "responsible" 15
"376" "killing" 11
"377" "343" 1
"378" "members" 91
"379" "FDNY" 1
"380" "Sept" 28
"381" "11" 161
"382" "2001" 17
"383" "commissioner" 14
"384" "Tonight" 8
"385" "firehouses" 1
"386" "throughout" 29
"387" "our" 262
"388" "grateful" 5
"389" "news" 57
"390" "thankful" 2
"391" "brave" 3
"392" "military" 28
"393" "had" 630
"394" "role" 46
"395" "successful" 19
"396" "operation" 9
"397" "Stotik" 3
"398" "auteur" 1
"399" "visionary" 2
"400" "inhabits" 2
"401" "mind" 32
"402" "strongly" 4
"403" "makes" 66
"404" "come" 135
"405" "alive" 13
"406" "through" 217
"407" "work" 204
"408" "seemingly" 8
"409" "anything" 56
"410" "else" 42
"411" "Though" 22
"412" "brilliant" 4
"413" "educated" 5
"414" "often" 70
"415" "worked" 61
"416" "labor" 15
"417" "construction" 34
"418" "jobs" 54
"419" "order" 40
"420" "living" 37
"421" "While" 63
"422" "doesn" 87
"423" "appear" 17
"424" "overprotective" 1
"425" "discreet" 1
"426" "about" 689
"427" "affairs" 4
"428" "lives" 39
"429" "North" 56
"430" "Portland" 59
"431" "wife" 46
"432" "Tammy" 1
"433" "rest" 33
"434" "family" 137
"435" "spread" 21
"436" "geographically" 1
"437" "parents" 41
"438" "live" 54
"439" "along" 80
"440" "brother" 24
"441" "Another" 25
"442" "sister" 27
"443" "reside" 1
"444" "Idaho" 5
"445" "California" 63
"446" "respectively" 5
"447" "been" 513
"448" "very" 166
"449" "efficient" 13
"450" "offensively" 3
"451" "defensively" 3
"452" "special" 62
"453" "teams" 58
"454" "wise" 6
"455" "Not" 40
"456" "refund" 2
"457" "loans" 21
"458" "entirely" 10
"459" "disappeared" 7
"460" "They" 211
"461" "still" 175
"462" "being" 161
"463" "aggressively" 3
"464" "hawked" 1
"465" "by" 952
"466" "Jackson" 12
"467" "Hewitt" 2
"468" "instance" 15
"469" "even" 189
"470" "scaled" 2
"471" "back" 251
"472" "them" 324
"473" "companies" 59
"474" "came" 117
"475" "2007" 41
"476" "created" 32
"477" "UniStar" 1
"478" "develop" 14
"479" "nuclear" 20
"480" "projects" 27
"481" "America" 53
"482" "including" 147
"483" "Calvert" 3
"484" "Cliffs" 2
"485" "aim" 1
"486" "creating" 21
"487" "renaissance" 2
"488" "30" 163
"489" "year" 604
"490" "hiatus" 1
"491" "artwork" 2
"492" "several" 99
"493" "sizes" 3
"494" "some" 334
"495" "commandingly" 1
"496" "large" 65
"497" "pieces" 22
"498" "smaller" 20
"499" "manageable" 2
"500" "Pawlowska" 1
"501" "paints" 3
"502" "wood" 9
"503" "using" 54
